,Location,Period,Dim1,First Tooltip,No
114,阿尔巴尼亚,2001,Both sexes,4.74,AL
115,阿尔巴尼亚,2001,Male,6.49,AL
116,阿尔巴尼亚,2001,Female,2.96,AL
117,阿尔巴尼亚,2000,Both sexes,5.23,AL
118,阿尔巴尼亚,2000,Male,7.58,AL
119,阿尔巴尼亚,2000,Female,2.91,AL
120,阿尔及利亚,2019,Both sexes,2.6,DZ
121,阿尔及利亚,2019,Male,3.3,DZ
122,阿尔及利亚,2019,Female,1.9,DZ
123,阿尔及利亚,2018,Both sexes,2.58,DZ
124,阿尔及利亚,2018,Male,3.24,DZ
125,阿尔及利亚,2018,Female,1.91,DZ
126,阿尔及利亚,2017,Both sexes,2.54,DZ
127,阿尔及利亚,2017,Male,3.18,DZ
128,阿尔及利亚,2017,Female,1.9,DZ
129,阿尔及利亚,2016,Both sexes,2.61,DZ
130,阿尔及利亚,2016,Male,3.29,DZ
131,阿尔及利亚,2016,Female,1.94,DZ
132,阿尔及利亚,2015,Both sexes,2.72,DZ
133,阿尔及利亚,2015,Male,3.44,DZ
134,阿尔及利亚,2015,Female,2.01,DZ
135,阿尔及利亚,2014,Both sexes,2.78,DZ
136,阿尔及利亚,2014,Male,3.53,DZ
137,阿尔及利亚,2014,Female,2.02,DZ
138,阿尔及利亚,2013,Both sexes,2.85,DZ
139,阿尔及利亚,2013,Male,3.64,DZ
140,阿尔及利亚,2013,Female,2.06,DZ
141,阿尔及利亚,2012,Both sexes,2.89,DZ
142,阿尔及利亚,2012,Male,3.68,DZ
143,阿尔及利亚,2012,Female,2.1,DZ
144,阿尔及利亚,2011,Both sexes,2.94,DZ
145,阿尔及利亚,2011,Male,3.74,DZ
146,阿尔及利亚,2011,Female,2.13,DZ
147,阿尔及利亚,2010,Both sexes,3.0,DZ
148,阿尔及利亚,2010,Male,3.81,DZ
149,阿尔及利亚,2010,Female,2.19,DZ
150,阿尔及利亚,2009,Both sexes,3.15,DZ
151,阿尔及利亚,2009,Male,4.02,DZ
152,阿尔及利亚,2009,Female,2.29,DZ
153,阿尔及利亚,2008,Both sexes,3.31,DZ
154,阿尔及利亚,2008,Male,4.22,DZ
155,阿尔及利亚,2008,Female,2.4,DZ
156,阿尔及利亚,2007,Both sexes,3.46,DZ
157,阿尔及利亚,2007,Male,4.41,DZ
158,阿尔及利亚,2007,Female,2.51,DZ
159,阿尔及利亚,2006,Both sexes,3.65,DZ
160,阿尔及利亚,2006,Male,4.63,DZ
161,阿尔及利亚,2006,Female,2.66,DZ
162,阿尔及利亚,2005,Both sexes,3.82,DZ
163,阿尔及利亚,2005,Male,4.83,DZ
164,阿尔及利亚,2005,Female,2.8,DZ
165,阿尔及利亚,2004,Both sexes,3.97,DZ
166,阿尔及利亚,2004,Male,5.0,DZ
167,阿尔及利亚,2004,Female,2.94,DZ
168,阿尔及利亚,2003,Both sexes,4.12,DZ
169,阿尔及利亚,2003,Male,5.17,DZ
170,阿尔及利亚,2003,Female,3.07,DZ
171,阿尔及利亚,2002,Both sexes,4.43,DZ
172,阿尔及利亚,2002,Male,5.55,DZ
173,阿尔及利亚,2002,Female,3.31,DZ
174,阿尔及利亚,2001,Both sexes,4.58,DZ
175,阿尔及利亚,2001,Male,5.73,DZ
176,阿尔及利亚,2001,Female,3.42,DZ
177,阿尔及利亚,2000,Both sexes,4.68,DZ
178,阿尔及利亚,2000,Male,5.86,DZ
179,阿尔及利亚,2000,Female,3.5,DZ
180,安哥拉,2019,Both sexes,12.55,AO
181,安哥拉,2019,Male,21.71,AO
182,安哥拉,2019,Female,4.68,AO
183,安哥拉,2018,Both sexes,12.35,AO
184,安哥拉,2018,Male,21.28,AO
185,安哥拉,2018,Female,4.64,AO
186,安哥拉,2017,Both sexes,12.36,AO
