,Location,Period,Dim1,First Tooltip,No
1543,布基纳法索,2005,Male,26.26,BF
1544,布基纳法索,2005,Female,8.32,BF
1545,布基纳法索,2004,Both sexes,15.82,BF
1546,布基纳法索,2004,Male,26.05,BF
1547,布基纳法索,2004,Female,8.41,BF
1548,布基纳法索,2003,Both sexes,15.78,BF
1549,布基纳法索,2003,Male,25.94,BF
1550,布基纳法索,2003,Female,8.42,BF
1551,布基纳法索,2002,Both sexes,15.91,BF
1552,布基纳法索,2002,Male,26.03,BF
1553,布基纳法索,2002,Female,8.6,BF
1554,布基纳法索,2001,Both sexes,16.38,BF
1555,布基纳法索,2001,Male,26.78,BF
1556,布基纳法索,2001,Female,8.88,BF
1557,布基纳法索,2000,Both sexes,16.93,BF
1558,布基纳法索,2000,Male,27.6,BF
1559,布基纳法索,2000,Female,9.23,BF
1560,布隆迪,2019,Both sexes,12.12,BI
1561,布隆迪,2019,Male,18.91,BI
1562,布隆迪,2019,Female,6.35,BI
1563,布隆迪,2018,Both sexes,12.31,BI
1564,布隆迪,2018,Male,19.24,BI
1565,布隆迪,2018,Female,6.43,BI
1566,布隆迪,2017,Both sexes,12.46,BI
1567,布隆迪,2017,Male,19.4,BI
1568,布隆迪,2017,Female,6.59,BI
1569,布隆迪,2016,Both sexes,12.61,BI
1570,布隆迪,2016,Male,19.48,BI
1571,布隆迪,2016,Female,6.85,BI
1572,布隆迪,2015,Both sexes,12.75,BI
1573,布隆迪,2015,Male,19.54,BI
1574,布隆迪,2015,Female,7.1,BI
1575,布隆迪,2014,Both sexes,13.14,BI
1576,布隆迪,2014,Male,20.01,BI
1577,布隆迪,2014,Female,7.41,BI
1578,布隆迪,2013,Both sexes,13.75,BI
1579,布隆迪,2013,Male,21.04,BI
1580,布隆迪,2013,Female,7.67,BI
1581,布隆迪,2012,Both sexes,14.09,BI
1582,布隆迪,2012,Male,21.49,BI
1583,布隆迪,2012,Female,7.93,BI
1584,布隆迪,2011,Both sexes,14.51,BI
1585,布隆迪,2011,Male,21.92,BI
1586,布隆迪,2011,Female,8.38,BI
1587,布隆迪,2010,Both sexes,14.92,BI
1588,布隆迪,2010,Male,22.42,BI
1589,布隆迪,2010,Female,8.73,BI
1590,布隆迪,2009,Both sexes,15.22,BI
1591,布隆迪,2009,Male,22.76,BI
1592,布隆迪,2009,Female,9.02,BI
1593,布隆迪,2008,Both sexes,15.66,BI
1594,布隆迪,2008,Male,23.39,BI
1595,布隆迪,2008,Female,9.31,BI
1596,布隆迪,2007,Both sexes,16.48,BI
1597,布隆迪,2007,Male,24.47,BI
1598,布隆迪,2007,Female,9.95,BI
1599,布隆迪,2006,Both sexes,17.53,BI
1600,布隆迪,2006,Male,25.77,BI
1601,布隆迪,2006,Female,10.82,BI
1602,布隆迪,2005,Both sexes,17.94,BI
1603,布隆迪,2005,Male,26.29,BI
1604,布隆迪,2005,Female,11.18,BI
1605,布隆迪,2004,Both sexes,18.55,BI
1606,布隆迪,2004,Male,27.18,BI
1607,布隆迪,2004,Female,11.54,BI
1608,布隆迪,2003,Both sexes,19.38,BI
1609,布隆迪,2003,Male,28.49,BI
1610,布隆迪,2003,Female,11.97,BI
1611,布隆迪,2002,Both sexes,20.51,BI
1612,布隆迪,2002,Male,30.29,BI
1613,布隆迪,2002,Female,12.56,BI
1614,布隆迪,2001,Both sexes,21.64,BI
1615,布隆迪,2001,Male,32.19,BI
1616,布隆迪,2001,Female,13.04,BI
1617,布隆迪,2000,Both sexes,23.43,BI
1618,布隆迪,2000,Male,35.49,BI
1619,布隆迪,2000,Female,13.55,BI
1620,佛得角,2019,Both sexes,15.23,CV
1621,佛得角,2019,Male,27.4,CV
1622,佛得角,2019,Female,5.06,CV
1623,佛得角,2018,Both sexes,15.96,CV
1624,佛得角,2018,Male,28.88,CV
1625,佛得角,2018,Female,5.16,CV
1626,佛得角,2017,Both sexes,16.16,CV
1627,佛得角,2017,Male,27.83,CV
1628,佛得角,2017,Female,5.31,CV
1629,佛得角,2016,Both sexes,16.53,CV
1630,佛得角,2016,Male,28.27,CV
1631,佛得角,2016,Female,5.51,CV
1632,佛得角,2015,Both sexes,16.73,CV
1633,佛得角,2015,Male,28.66,CV
1634,佛得角,2015,Female,5.6,CV
1635,佛得角,2014,Both sexes,16.91,CV
1636,佛得角,2014,Male,29.01,CV
1637,佛得角,2014,Female,5.67,CV
1638,佛得角,2013,Both sexes,17.46,CV
1639,佛得角,2013,Male,30.02,CV
1640,佛得角,2013,Female,5.83,CV
1641,佛得角,2012,Both sexes,17.98,CV
1642,佛得角,2012,Male,31.02,CV
1643,佛得角,2012,Female,5.89,CV
1644,佛得角,2011,Both sexes,18.21,CV
1645,佛得角,2011,Male,31.59,CV
1646,佛得角,2011,Female,5.79,CV
1647,佛得角,2010,Both sexes,18.44,CV
1648,佛得角,2010,Male,32.02,CV
1649,佛得角,2010,Female,5.94,CV
1650,佛得角,2009,Both sexes,18.44,CV
1651,佛得角,2009,Male,32.31,CV
1652,佛得角,2009,Female,6.08,CV
1653,佛得角,2008,Both sexes,18.3,CV
1654,佛得角,2008,Male,32.43,CV
1655,佛得角,2008,Female,6.11,CV
1656,佛得角,2007,Both sexes,18.15,CV
1657,佛得角,2007,Male,32.51,CV
1658,佛得角,2007,Female,6.12,CV
1659,佛得角,2006,Both sexes,18.16,CV
1660,佛得角,2006,Male,32.93,CV
1661,佛得角,2006,Female,6.23,CV
1662,佛得角,2005,Both sexes,18.49,CV
1663,佛得角,2005,Male,34.31,CV
1664,佛得角,2005,Female,6.05,CV
1665,佛得角,2004,Both sexes,18.28,CV
1666,佛得角,2004,Male,33.95,CV
1667,佛得角,2004,Female,6.14,CV
1668,佛得角,2003,Both sexes,18.11,CV
1669,佛得角,2003,Male,33.46,CV
1670,佛得角,2003,Female,6.34,CV
1671,佛得角,2002,Both sexes,18.13,CV
1672,佛得角,2002,Male,33.44,CV
1673,佛得角,2002,Female,6.5,CV
1674,佛得角,2001,Both sexes,18.03,CV
1675,佛得角,2001,Male,33.06,CV
1676,佛得角,2001,Female,6.67,CV
1677,佛得角,2000,Both sexes,18.18,CV
1678,佛得角,2000,Male,33.33,CV
1679,佛得角,2000,Female,6.8,CV
1680,柬埔寨,2019,Both sexes,5.49,KH
1681,柬埔寨,2019,Male,8.38,KH
1682,柬埔寨,2019,Female,3.05,KH
1683,柬埔寨,2018,Both sexes,5.59,KH
1684,柬埔寨,2018,Male,8.56,KH
1685,柬埔寨,2018,Female,3.09,KH
1686,柬埔寨,2017,Both sexes,5.64,KH
1687,柬埔寨,2017,Male,8.64,KH
1688,柬埔寨,2017,Female,3.11,KH
1689,柬埔寨,2016,Both sexes,5.75,KH
1690,柬埔寨,2016,Male,8.77,KH
1691,柬埔寨,2016,Female,3.19,KH
1692,柬埔寨,2015,Both sexes,5.75,KH
1693,柬埔寨,2015,Male,8.78,KH
1694,柬埔寨,2015,Female,3.21,KH
1695,柬埔寨,2014,Both sexes,5.8,KH
1696,柬埔寨,2014,Male,8.82,KH
1697,柬埔寨,2014,Female,3.26,KH
1698,柬埔寨,2013,Both sexes,5.96,KH
1699,柬埔寨,2013,Male,9.05,KH
1700,柬埔寨,2013,Female,3.37,KH
1701,柬埔寨,2012,Both sexes,6.12,KH
1702,柬埔寨,2012,Male,9.3,KH
1703,柬埔寨,2012,Female,3.46,KH
1704,柬埔寨,2011,Both sexes,6.22,KH
1705,柬埔寨,2011,Male,9.46,KH
1706,柬埔寨,2011,Female,3.51,KH
1707,柬埔寨,2010,Both sexes,6.34,KH
1708,柬埔寨,2010,Male,9.62,KH
1709,柬埔寨,2010,Female,3.6,KH
1710,柬埔寨,2009,Both sexes,6.39,KH
1711,柬埔寨,2009,Male,9.69,KH
1712,柬埔寨,2009,Female,3.65,KH
1713,柬埔寨,2008,Both sexes,6.65,KH
1714,柬埔寨,2008,Male,9.96,KH
1715,柬埔寨,2008,Female,3.9,KH
1716,柬埔寨,2007,Both sexes,6.89,KH
1717,柬埔寨,2007,Male,10.17,KH
1718,柬埔寨,2007,Female,4.15,KH
1719,柬埔寨,2006,Both sexes,6.9,KH
1720,柬埔寨,2006,Male,10.04,KH
1721,柬埔寨,2006,Female,4.3,KH
1722,柬埔寨,2005,Both sexes,6.81,KH
1723,柬埔寨,2005,Male,9.74,KH
1724,柬埔寨,2005,Female,4.42,KH
1725,柬埔寨,2004,Both sexes,6.6,KH
1726,柬埔寨,2004,Male,9.3,KH
1727,柬埔寨,2004,Female,4.41,KH
1728,柬埔寨,2003,Both sexes,6.46,KH
1729,柬埔寨,2003,Male,8.95,KH
1730,柬埔寨,2003,Female,4.43,KH
1731,柬埔寨,2002,Both sexes,6.58,KH
1732,柬埔寨,2002,Male,8.95,KH
1733,柬埔寨,2002,Female,4.65,KH
1734,柬埔寨,2001,Both sexes,6.76,KH
1735,柬埔寨,2001,Male,9.11,KH
1736,柬埔寨,2001,Female,4.86,KH
1737,柬埔寨,2000,Both sexes,6.84,KH
1738,柬埔寨,2000,Male,9.17,KH
1739,柬埔寨,2000,Female,4.97,KH
1740,喀麦隆,2019,Both sexes,15.92,CM
1741,喀麦隆,2019,Male,25.15,CM
1742,喀麦隆,2019,Female,7.59,CM
1743,喀麦隆,2018,Both sexes,15.93,CM
1744,喀麦隆,2018,Male,25.32,CM
1745,喀麦隆,2018,Female,7.48,CM
1746,喀麦隆,2017,Both sexes,16.15,CM
1747,喀麦隆,2017,Male,25.74,CM
1748,喀麦隆,2017,Female,7.55,CM
1749,喀麦隆,2016,Both sexes,16.62,CM
1750,喀麦隆,2016,Male,26.39,CM
1751,喀麦隆,2016,Female,7.89,CM
1752,喀麦隆,2015,Both sexes,17.09,CM
1753,喀麦隆,2015,Male,27.01,CM
1754,喀麦隆,2015,Female,8.28,CM
1755,喀麦隆,2014,Both sexes,17.94,CM
1756,喀麦隆,2014,Male,28.2,CM
1757,喀麦隆,2014,Female,8.81,CM
1758,喀麦隆,2013,Both sexes,18.71,CM
1759,喀麦隆,2013,Male,29.5,CM
1760,喀麦隆,2013,Female,9.09,CM
1761,喀麦隆,2012,Both sexes,19.15,CM
1762,喀麦隆,2012,Male,30.82,CM
1763,喀麦隆,2012,Female,8.7,CM
1764,喀麦隆,2011,Both sexes,19.41,CM
1765,喀麦隆,2011,Male,30.88,CM
1766,喀麦隆,2011,Female,9.18,CM
1767,喀麦隆,2010,Both sexes,19.51,CM
1768,喀麦隆,2010,Male,30.93,CM
1769,喀麦隆,2010,Female,9.37,CM
1770,喀麦隆,2009,Both sexes,19.97,CM
1771,喀麦隆,2009,Male,31.63,CM
1772,喀麦隆,2009,Female,9.6,CM
1773,喀麦隆,2008,Both sexes,20.12,CM
1774,喀麦隆,2008,Male,31.87,CM
1775,喀麦隆,2008,Female,9.67,CM
1776,喀麦隆,2007,Both sexes,20.4,CM
1777,喀麦隆,2007,Male,32.37,CM
1778,喀麦隆,2007,Female,9.76,CM
1779,喀麦隆,2006,Both sexes,20.92,CM
1780,喀麦隆,2006,Male,32.88,CM
1781,喀麦隆,2006,Female,10.3,CM
1782,喀麦隆,2005,Both sexes,20.56,CM
1783,喀麦隆,2005,Male,32.27,CM
1784,喀麦隆,2005,Female,10.21,CM
1785,喀麦隆,2004,Both sexes,19.37,CM
1786,喀麦隆,2004,Male,30.52,CM
1787,喀麦隆,2004,Female,9.53,CM
1788,喀麦隆,2003,Both sexes,19.49,CM
1789,喀麦隆,2003,Male,30.56,CM
1790,喀麦隆,2003,Female,9.69,CM
1791,喀麦隆,2002,Both sexes,19.23,CM
1792,喀麦隆,2002,Male,30.03,CM
1793,喀麦隆,2002,Female,9.68,CM
1794,喀麦隆,2001,Both sexes,19.43,CM
1795,喀麦隆,2001,Male,30.3,CM
1796,喀麦隆,2001,Female,9.8,CM
1797,喀麦隆,2000,Both sexes,19.12,CM
1798,喀麦隆,2000,Male,29.76,CM
1799,喀麦隆,2000,Female,9.71,CM
1800,加拿大,2019,Both sexes,10.34,CA
1801,加拿大,2019,Male,15.35,CA
1802,加拿大,2019,Female,5.38,CA
1803,加拿大,2018,Both sexes,10.5,CA
1804,加拿大,2018,Male,15.57,CA
1805,加拿大,2018,Female,5.47,CA
1806,加拿大,2017,Both sexes,11.68,CA
1807,加拿大,2017,Male,17.63,CA
1808,加拿大,2017,Female,5.77,CA
1809,加拿大,2016,Both sexes,10.37,CA
1810,加拿大,2016,Male,15.32,CA
1811,加拿大,2016,Female,5.47,CA
1812,加拿大,2015,Both sexes,11.16,CA
1813,加拿大,2015,Male,16.42,CA
1814,加拿大,2015,Female,5.98,CA
1815,加拿大,2014,Both sexes,10.86,CA
1816,加拿大,2014,Male,15.95,CA
1817,加拿大,2014,Female,5.86,CA
1818,加拿大,2013,Both sexes,10.19,CA
1819,加拿大,2013,Male,15.02,CA
1820,加拿大,2013,Female,5.46,CA
1821,加拿大,2012,Both sexes,10.07,CA
1822,加拿大,2012,Male,14.94,CA
1823,加拿大,2012,Female,5.27,CA
1824,加拿大,2011,Both sexes,9.63,CA
1825,加拿大,2011,Male,14.13,CA
1826,加拿大,2011,Female,5.19,CA
1827,加拿大,2010,Both sexes,10.26,CA
1828,加拿大,2010,Male,15.14,CA
1829,加拿大,2010,Female,5.45,CA
1830,加拿大,2009,Both sexes,10.24,CA
1831,加拿大,2009,Male,15.53,CA
1832,加拿大,2009,Female,5.04,CA
1833,加拿大,2008,Both sexes,9.88,CA
1834,加拿大,2008,Male,14.69,CA
1835,加拿大,2008,Female,5.13,CA
1836,加拿大,2007,Both sexes,9.86,CA
1837,加拿大,2007,Male,14.72,CA
1838,加拿大,2007,Female,5.05,CA
1839,加拿大,2006,Both sexes,9.56,CA
1840,加拿大,2006,Male,14.48,CA
1841,加拿大,2006,Female,4.74,CA
1842,加拿大,2005,Both sexes,10.58,CA
1843,加拿大,2005,Male,15.95,CA
1844,加拿大,2005,Female,5.29,CA
1845,加拿大,2004,Both sexes,10.27,CA
1846,加拿大,2004,Male,15.41,CA
1847,加拿大,2004,Female,5.2,CA
1848,加拿大,2003,Both sexes,10.89,CA
1849,加拿大,2003,Male,16.65,CA
1850,加拿大,2003,Female,5.22,CA
1851,加拿大,2002,Both sexes,10.53,CA
1852,加拿大,2002,Male,16.29,CA
1853,加拿大,2002,Female,4.9,CA
1854,加拿大,2001,Both sexes,10.86,CA
1855,加拿大,2001,Male,16.82,CA
1856,加拿大,2001,Female,5.01,CA
1857,加拿大,2000,Both sexes,10.71,CA
1858,加拿大,2000,Male,16.57,CA
1859,加拿大,2000,Female,4.95,CA
1860,中非,2019,Both sexes,22.96,CF
1861,中非,2019,Male,39.64,CF
1862,中非,2019,Female,9.3,CF
1863,中非,2018,Both sexes,23.65,CF
1864,中非,2018,Male,40.82,CF
1865,中非,2018,Female,9.5,CF
1866,中非,2017,Both sexes,25.73,CF
1867,中非,2017,Male,44.9,CF
1868,中非,2017,Female,9.64,CF
1869,中非,2016,Both sexes,25.25,CF
1870,中非,2016,Male,44.04,CF
1871,中非,2016,Female,9.61,CF
1872,中非,2015,Both sexes,26.31,CF
1873,中非,2015,Male,45.47,CF
1874,中非,2015,Female,10.39,CF
1875,中非,2014,Both sexes,27.59,CF
1876,中非,2014,Male,47.97,CF
1877,中非,2014,Female,10.36,CF
1878,中非,2013,Both sexes,26.95,CF
1879,中非,2013,Male,46.07,CF
1880,中非,2013,Female,10.93,CF
1881,中非,2012,Both sexes,26.64,CF
1882,中非,2012,Male,45.13,CF
1883,中非,2012,Female,11.23,CF
1884,中非,2011,Both sexes,27.57,CF
1885,中非,2011,Male,46.3,CF
1886,中非,2011,Female,11.96,CF
1887,中非,2010,Both sexes,28.12,CF
1888,中非,2010,Male,47.13,CF
1889,中非,2010,Female,12.29,CF
1890,中非,2009,Both sexes,28.53,CF
1891,中非,2009,Male,47.81,CF
1892,中非,2009,Female,12.39,CF
1893,中非,2008,Both sexes,27.29,CF
1894,中非,2008,Male,46.07,CF
1895,中非,2008,Female,11.65,CF
1896,中非,2007,Both sexes,27.7,CF
1897,中非,2007,Male,46.65,CF
1898,中非,2007,Female,11.93,CF
1899,中非,2006,Both sexes,28.14,CF
1900,中非,2006,Male,47.26,CF
1901,中非,2006,Female,12.25,CF
1902,中非,2005,Both sexes,27.24,CF
1903,中非,2005,Male,45.76,CF
1904,中非,2005,Female,11.93,CF
1905,中非,2004,Both sexes,28.05,CF
1906,中非,2004,Male,46.82,CF
1907,中非,2004,Female,12.44,CF
1908,中非,2003,Both sexes,29.06,CF
1909,中非,2003,Male,48.27,CF
1910,中非,2003,Female,13.01,CF
1911,中非,2002,Both sexes,30.43,CF
1912,中非,2002,Male,50.39,CF
1913,中非,2002,Female,13.65,CF
1914,中非,2001,Both sexes,30.74,CF
1915,中非,2001,Male,50.94,CF
1916,中非,2001,Female,13.72,CF
1917,中非,2000,Both sexes,32.5,CF
1918,中非,2000,Male,53.68,CF
1919,中非,2000,Female,14.57,CF
1920,乍得,2019,Both sexes,13.22,TD
1921,乍得,2019,Male,20.21,TD
1922,乍得,2019,Female,6.88,TD
1923,乍得,2018,Both sexes,13.57,TD
1924,乍得,2018,Male,20.65,TD
1925,乍得,2018,Female,7.13,TD
1926,乍得,2017,Both sexes,13.77,TD
1927,乍得,2017,Male,20.86,TD
1928,乍得,2017,Female,7.33,TD
1929,乍得,2016,Both sexes,13.68,TD
1930,乍得,2016,Male,20.81,TD
1931,乍得,2016,Female,7.24,TD
1932,乍得,2015,Both sexes,13.97,TD
1933,乍得,2015,Male,21.32,TD
1934,乍得,2015,Female,7.33,TD
1935,乍得,2014,Both sexes,14.6,TD
1936,乍得,2014,Male,22.29,TD
1937,乍得,2014,Female,7.64,TD
1938,乍得,2013,Both sexes,15.13,TD
1939,乍得,2013,Male,23.14,TD
1940,乍得,2013,Female,7.88,TD
1941,乍得,2012,Both sexes,15.6,TD
1942,乍得,2012,Male,23.98,TD
1943,乍得,2012,Female,8.03,TD
1944,乍得,2011,Both sexes,15.89,TD
1945,乍得,2011,Male,24.57,TD
1946,乍得,2011,Female,8.06,TD
1947,乍得,2010,Both sexes,15.97,TD
1948,乍得,2010,Male,24.8,TD
1949,乍得,2010,Female,8.02,TD
1950,乍得,2009,Both sexes,15.8,TD
1951,乍得,2009,Male,24.59,TD
1952,乍得,2009,Female,7.9,TD
1953,乍得,2008,Both sexes,15.67,TD
1954,乍得,2008,Male,24.51,TD
1955,乍得,2008,Female,7.76,TD
1956,乍得,2007,Both sexes,15.91,TD
1957,乍得,2007,Male,24.94,TD
1958,乍得,2007,Female,7.84,TD
1959,乍得,2006,Both sexes,15.58,TD
1960,乍得,2006,Male,24.67,TD
1961,乍得,2006,Female,7.48,TD
1962,乍得,2005,Both sexes,15.64,TD
1963,乍得,2005,Male,24.75,TD
1964,乍得,2005,Female,7.55,TD
1965,乍得,2004,Both sexes,15.65,TD
1966,乍得,2004,Male,24.83,TD
1967,乍得,2004,Female,7.5,TD
1968,乍得,2003,Both sexes,15.95,TD
1969,乍得,2003,Male,25.03,TD
1970,乍得,2003,Female,7.9,TD
1971,乍得,2002,Both sexes,15.78,TD
1972,乍得,2002,Male,24.8,TD
1973,乍得,2002,Female,7.79,TD
1974,乍得,2001,Both sexes,15.78,TD
1975,乍得,2001,Male,24.85,TD
1976,乍得,2001,Female,7.74,TD
1977,乍得,2000,Both sexes,15.71,TD
1978,乍得,2000,Male,24.78,TD
1979,乍得,2000,Female,7.69,TD
1980,智利,2019,Both sexes,8.04,CL
1981,智利,2019,Male,13.4,CL
1982,智利,2019,Female,2.98,CL
1983,智利,2018,Both sexes,7.96,CL
1984,智利,2018,Male,13.23,CL
1985,智利,2018,Female,2.98,CL
1986,智利,2017,Both sexes,8.39,CL
1987,智利,2017,Male,14.14,CL
1988,智利,2017,Female,2.98,CL
1989,智利,2016,Both sexes,9.18,CL
1990,智利,2016,Male,15.45,CL
1991,智利,2016,Female,3.27,CL
1992,智利,2015,Both sexes,9.17,CL
1993,智利,2015,Male,14.84,CL
1994,智利,2015,Female,3.87,CL
1995,智利,2014,Both sexes,9.13,CL
1996,智利,2014,Male,15.32,CL
1997,智利,2014,Female,3.32,CL
1998,智利,2013,Both sexes,9.15,CL
1999,智利,2013,Male,15.26,CL
2000,智利,2013,Female,3.4,CL
2001,智利,2012,Both sexes,9.86,CL
2002,智利,2012,Male,16.56,CL
2003,智利,2012,Female,3.56,CL
2004,智利,2011,Both sexes,11.0,CL
2005,智利,2011,Male,18.46,CL
2006,智利,2011,Female,4.01,CL
2007,智利,2010,Both sexes,11.01,CL
2008,智利,2010,Male,18.27,CL
2009,智利,2010,Female,4.22,CL
2010,智利,2009,Both sexes,12.12,CL
2011,智利,2009,Male,19.95,CL
2012,智利,2009,Female,4.78,CL
2013,智利,2008,Both sexes,11.76,CL
2014,智利,2008,Male,19.38,CL
2015,智利,2008,Female,4.61,CL
2016,智利,2007,Both sexes,10.65,CL
2017,智利,2007,Male,17.73,CL
2018,智利,2007,Female,4.03,CL
2019,智利,2006,Both sexes,9.72,CL
2020,智利,2006,Male,16.77,CL
2021,智利,2006,Female,3.23,CL
2022,智利,2005,Both sexes,9.49,CL
2023,智利,2005,Male,16.34,CL
2024,智利,2005,Female,3.15,CL
2025,智利,2004,Both sexes,10.01,CL
2026,智利,2004,Male,17.57,CL
2027,智利,2004,Female,3.03,CL
2028,智利,2003,Both sexes,9.69,CL
2029,智利,2003,Male,17.02,CL
2030,智利,2003,Female,2.94,CL
2031,智利,2002,Both sexes,9.68,CL
2032,智利,2002,Male,16.98,CL
2033,智利,2002,Female,2.94,CL
2034,智利,2001,Both sexes,10.38,CL
2035,智利,2001,Male,18.51,CL
2036,智利,2001,Female,2.91,CL
2037,智利,2000,Both sexes,10.52,CL
2038,智利,2000,Male,18.97,CL
2039,智利,2000,Female,2.9,CL
2040,中国,2019,Both sexes,6.67,CN
2041,中国,2019,Male,8.63,CN
2042,中国,2019,Female,4.8,CN
2043,中国,2018,Both sexes,6.81,CN
2044,中国,2018,Male,8.79,CN
2045,中国,2018,Female,4.91,CN
2046,中国,2017,Both sexes,6.89,CN
2047,中国,2017,Male,8.9,CN
2048,中国,2017,Female,4.98,CN
2049,中国,2016,Both sexes,6.99,CN
2050,中国,2016,Male,8.98,CN
2051,中国,2016,Female,5.11,CN
2052,中国,2015,Both sexes,7.08,CN
2053,中国,2015,Male,9.04,CN
2054,中国,2015,Female,5.25,CN
2055,中国,2014,Both sexes,7.35,CN
2056,中国,2014,Male,9.27,CN
2057,中国,2014,Female,5.57,CN
2058,中国,2013,Both sexes,7.65,CN
2059,中国,2013,Male,9.53,CN
2060,中国,2013,Female,5.93,CN
2061,中国,2012,Both sexes,8.14,CN
2062,中国,2012,Male,10.04,CN
2063,中国,2012,Female,6.41,CN
2064,中国,2011,Both sexes,8.84,CN
2065,中国,2011,Male,10.71,CN
2066,中国,2011,Female,7.14,CN
2067,中国,2010,Both sexes,9.59,CN
2068,中国,2010,Male,11.54,CN
2069,中国,2010,Female,7.81,CN
2070,中国,2009,Both sexes,10.09,CN
2071,中国,2009,Male,11.95,CN
2072,中国,2009,Female,8.4,CN
2073,中国,2008,Both sexes,10.59,CN
2074,中国,2008,Male,12.36,CN
2075,中国,2008,Female,8.98,CN
2076,中国,2007,Both sexes,11.1,CN
2077,中国,2007,Male,12.74,CN
2078,中国,2007,Female,9.61,CN
2079,中国,2006,Both sexes,11.88,CN
2080,中国,2006,Male,13.44,CN
2081,中国,2006,Female,10.47,CN
2082,中国,2005,Both sexes,12.83,CN
2083,中国,2005,Male,14.46,CN
2084,中国,2005,Female,11.36,CN
2085,中国,2004,Both sexes,13.39,CN
2086,中国,2004,Male,15.03,CN
2087,中国,2004,Female,11.91,CN
2088,中国,2003,Both sexes,12.0,CN
2089,中国,2003,Male,14.62,CN
2090,中国,2003,Female,11.53,CN
2091,中国,2002,Both sexes,12.52,CN
2092,中国,2002,Male,13.98,CN
2093,中国,2002,Female,11.23,CN
2094,中国,2001,Both sexes,13.34,CN
2095,中国,2001,Male,14.33,CN
2096,中国,2001,Female,12.56,CN
2097,中国,2000,Both sexes,14.85,CN
2098,中国,2000,Male,15.48,CN
2099,中国,2000,Female,14.47,CN
2100,哥伦比亚,2019,Both sexes,3.74,CO
2101,哥伦比亚,2019,Male,5.96,CO
2102,哥伦比亚,2019,Female,1.71,CO
2103,哥伦比亚,2018,Both sexes,3.87,CO
2104,哥伦比亚,2018,Male,6.26,CO
2105,哥伦比亚,2018,Female,1.69,CO
2106,哥伦比亚,2017,Both sexes,4.5,CO
2107,哥伦比亚,2017,Male,7.43,CO
2108,哥伦比亚,2017,Female,1.82,CO
2109,哥伦比亚,2016,Both sexes,4.11,CO
2110,哥伦比亚,2016,Male,6.86,CO
2111,哥伦比亚,2016,Female,1.6,CO
2112,哥伦比亚,2015,Both sexes,4.04,CO
2113,哥伦比亚,2015,Male,6.5,CO
2114,哥伦比亚,2015,Female,1.82,CO
2115,哥伦比亚,2014,Both sexes,3.69,CO
2116,哥伦比亚,2014,Male,6.19,CO
2117,哥伦比亚,2014,Female,1.4,CO
2118,哥伦比亚,2013,Both sexes,3.62,CO
2119,哥伦比亚,2013,Male,5.96,CO
2120,哥伦比亚,2013,Female,1.49,CO
2121,哥伦比亚,2012,Both sexes,3.81,CO
2122,哥伦比亚,2012,Male,6.34,CO
2123,哥伦比亚,2012,Female,1.5,CO
2124,哥伦比亚,2011,Both sexes,3.67,CO
2125,哥伦比亚,2011,Male,6.08,CO
2126,哥伦比亚,2011,Female,1.48,CO
2127,哥伦比亚,2010,Both sexes,3.85,CO
2128,哥伦比亚,2010,Male,6.45,CO
2129,哥伦比亚,2010,Female,1.49,CO
2130,哥伦比亚,2009,Both sexes,4.15,CO
2131,哥伦比亚,2009,Male,6.84,CO
2132,哥伦比亚,2009,Female,1.73,CO
2133,哥伦比亚,2008,Both sexes,4.27,CO
2134,哥伦比亚,2008,Male,7.07,CO
2135,哥伦比亚,2008,Female,1.77,CO
2136,哥伦比亚,2007,Both sexes,4.25,CO
2137,哥伦比亚,2007,Male,6.99,CO
2138,哥伦比亚,2007,Female,1.8,CO
2139,哥伦比亚,2006,Both sexes,4.3,CO
2140,哥伦比亚,2006,Male,6.96,CO
2141,哥伦比亚,2006,Female,1.91,CO
2142,哥伦比亚,2005,Both sexes,4.33,CO
2143,哥伦比亚,2005,Male,6.98,CO
2144,哥伦比亚,2005,Female,1.95,CO
2145,哥伦比亚,2004,Both sexes,4.7,CO
2146,哥伦比亚,2004,Male,7.55,CO
2147,哥伦比亚,2004,Female,2.16,CO
2148,哥伦比亚,2003,Both sexes,4.81,CO
2149,哥伦比亚,2003,Male,7.41,CO
2150,哥伦比亚,2003,Female,2.5,CO
2151,哥伦比亚,2002,Both sexes,4.88,CO
2152,哥伦比亚,2002,Male,7.73,CO
2153,哥伦比亚,2002,Female,2.32,CO
2154,哥伦比亚,2001,Both sexes,5.23,CO
2155,哥伦比亚,2001,Male,8.36,CO
2156,哥伦比亚,2001,Female,2.45,CO
2157,哥伦比亚,2000,Both sexes,5.3,CO
2158,哥伦比亚,2000,Male,8.38,CO
2159,哥伦比亚,2000,Female,2.57,CO
2160,科摩罗,2019,Both sexes,8.46,KM
2161,科摩罗,2019,Male,11.33,KM
2162,科摩罗,2019,Female,5.82,KM
2163,科摩罗,2018,Both sexes,8.48,KM
2164,科摩罗,2018,Male,11.34,KM
2165,科摩罗,2018,Female,5.85,KM
2166,科摩罗,2017,Both sexes,8.58,KM
2167,科摩罗,2017,Male,11.48,KM
2168,科摩罗,2017,Female,5.92,KM
2169,科摩罗,2016,Both sexes,8.72,KM
2170,科摩罗,2016,Male,11.68,KM
2171,科摩罗,2016,Female,6.03,KM
2172,科摩罗,2015,Both sexes,8.8,KM
